Symbol,T(degC),P(bar),gibbs_energy(J/mol),enthalpy(J/mol),entropy(J/K/mol),volume(J/bar),heat_capacity_cp(J/K/mol)
Sm(SO4)+,250,39.7620,-1404460,-1627165,-171.097,-3.120,-281.492
Sm+3,250,39.7620,-606391,-741926,-331.182,-9.295,-511.464
SmCl+2,250,39.7620,-773912,-837660,-93.107,-5.771,-87.486
SmCl2+,250,39.7620,-920287,-1027829,-76.014,-0.877,-184.295
SmCl3@,250,39.7620,-1036550,-1237073,-152.939,3.640,-216.017
SmF+2,250,39.7620,-943329,-1033951,-150.258,-7.388,-269.914
SmF2+,250,39.7620,-1256608,-1369701,-98.926,-5.285,-180.569
SmF3@,250,39.7620,-1532048,-1753459,-210.653,-3.260,-172.545
SmO+,250,39.7620,-803862,-874631,-74.413,-0.022,-247.406
SmO2-,250,39.7620,-949763,-1079118,-53.527,-0.607,-585.439
SmO2H@,250,39.7620,-1009941,-1107225,8.270,3.616,-185.933
SmOH+2,250,39.7620,-845213,-925175,-91.994,-1.937,-286.717
Sn+2,250,39.7620,-19793,-28338,-61.622,-4.042,-244.581
SnO@,250,39.7620,-232384,-267356,20.426,1.012,-47.501
SnOH+,250,39.7620,-261140,-274251,62.309,0.380,-68.947
SO2@,250,39.7620,-349008,-284095,258.064,5.029,231.375
SO3-2,250,39.7620,-460921,-722966,-232.872,-8.714,-1046.877
SO4-2,250,39.7620,-731261,-989906,-168.000,-6.089,-994.858
Tb(H2PO4)+2,250,39.7620,-1786096,-1996162,-102.174,-3.673,-160.798
Tb(SO4)+,250,39.7620,-1403987,-1630535,-176.308,-1.983,-269.820
Tb+3,250,39.7620,-606370,-745315,-335.176,-9.287,-504.419
TbCl+2,250,39.7620,-770773,-864279,-147.915,-5.401,-207.084
TbCl2+,250,39.7620,-920020,-1022827,-64.888,-0.899,-120.985
TbCl3@,250,39.7620,-1043291,-1212990,-91.219,3.907,-77.895
TbF+2,250,39.7620,-939793,-1052658,-190.702,-7.259,-316.267
TbF2+,250,39.7620,-1266055,-1358112,-55.723,-5.098,-102.329
TbF3@,250,39.7620,-1546456,-1729008,-133.456,-2.993,-34.423
TbO+,250,39.7620,-803815,-882354,-87.177,-0.260,-246.700
TbO2-,250,39.7620,-953179,-1087322,-60.524,-0.962,-577.932
TbO2H@,250,39.7620,-1013146,-1120727,-9.741,2.594,-263.971
TbOH+2,250,39.7620,-844556,-931799,-103.763,-2.146,-284.026
Tm(H2PO4)+2,250,39.7620,-1783254,-2004135,-122.757,-4.159,-160.273
Tm(SO4)+,250,39.7620,-1401718,-1636365,-191.808,-3.360,-271.162
Tm+3,250,39.7620,-604516,-751225,-350.195,-9.646,-503.530
TmCl+2,250,39.7620,-765751,-880313,-187.714,-5.856,-243.219
TmCl2+,250,39.7620,-916007,-1030989,-87.709,-1.479,-114.793
TmCl3@,250,39.7620,-1040061,-1216175,-104.401,3.490,-45.735
TmF+2,250,39.7620,-937591,-1061980,-212.279,-7.639,-341.169
TmF2+,250,39.7620,-1268000,-1359983,-55.623,-5.546,-87.942
TmF3@,250,39.7620,-1549231,-1728427,-127.388,-3.409,-2.263
TmO+,250,39.7620,-802985,-889937,-102.795,-0.542,-244.691
TmO2-,250,39.7620,-960208,-1098731,-68.477,-1.369,-565.934
TmO2H@,250,39.7620,-1016766,-1127169,-14.723,2.433,-231.948
TmOH+2,250,39.7620,-843177,-938164,-118.168,-2.398,-279.844
WO4-2,250,39.7620,-909419,-1059171,-119.163,-4.523,-947.456
Y+3,250,39.7620,-623519,-747897,-324.140,-8.774,-454.684
Yb(H2PO4)+2,250,39.7620,-1755511,-1972255,-122.584,-4.301,-170.022
Yb(SO4)+,250,39.7620,-1373449,-1603221,-190.422,-3.332,-275.399
Yb+3,250,39.7620,-576317,-718221,-348.843,-9.826,-510.033
YbCl+2,250,39.7620,-735782,-856084,-206.745,-5.935,-294.766
YbCl2+,250,39.7620,-885988,-1002361,-98.427,-1.654,-136.801
YbCl3@,250,39.7620,-1011048,-1180512,-98.765,3.267,-47.814
YbF+2,250,39.7620,-909266,-1031450,-216.124,-7.782,-354.759
YbF2+,250,39.7620,-1237928,-1331942,-67.194,-5.727,-110.302
YbF3@,250,39.7620,-1518387,-1704585,-148.786,-3.632,-41.999
YbO+,250,39.7620,-776185,-856484,-98.149,-0.454,-245.201
YbO2-,250,39.7620,-932313,-1065491,-66.313,-1.250,-569.920
YbO2H@,250,39.7620,-990094,-1097279,-16.276,2.476,-246.587
YbOH+2,250,39.7620,-815881,-904383,-113.872,-2.319,-281.005
YF+2,250,39.7620,-971687,-1017607,-79.145,-6.602,-126.146
YF2+,250,39.7620,-1300359,-1297825,108.500,-4.496,158.376
YO+,250,39.7620,-814444,-896368,-109.857,-0.668,-242.332
YO2-,250,39.7620,-953150,-1084677,-72.255,-1.565,-559.951
YO2H@,250,39.7620,-1021600,-1122396,-13.675,2.357,-210.935
YOH+2,250,39.7620,-857704,-947149,-124.812,-2.522,-278.192
Zn(HS)2(OH)-,250,39.7620,-394004,-548005,-26.856,1.057,-655.700
Zn(HS)2@,250,39.7620,-228140,-141052,301.146,3.590,332.989
Zn(HS)3-,250,39.7620,-243463,-214124,283.439,4.771,-37.848
Zn(HS)4-2,250,39.7620,-261239,-202808,431.730,11.411,246.450
Zn+2,250,39.7620,-120789,-168276,-141.570,-5.442,-255.397
ZnF+,250,39.7620,-420154,-475881,-62.380,-3.896,-66.927
ZnO@,250,39.7620,-277505,-333635,-25.138,-0.524,-144.044
ZnO2-2,250,39.7620,-344227,-611307,-295.513,-12.142,-975.113
ZnO2H-,250,39.7620,-451525,-607532,-83.209,-5.042,-458.874
ZnOH+,250,39.7620,-332581,-367174,16.026,-3.271,27.827
Zr+4,250,39.7620,-448637,-669750,-549.384,-13.584,-624.860
ZrO+2,250,39.7620,-732972,-871343,-258.268,-4.087,-291.275
ZrO2@,250,39.7620,-948473,-1063026,-80.041,0.324,176.628
ZrO2H+,250,39.7620,-974497,-1089003,-79.735,-2.400,76.620
ZrO3H-,250,39.7620,-1155439,-1352256,-104.138,-4.067,-344.071
ZrOH+3,250,39.7620,-735854,-886573,-282.079,-6.781,-325.405
