XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
Mg2Si_2,[],(C),298.15,1375,-90221.47582,81.65066532,-77781.47658,89.18156,-0.032201571,-1501698,0,5.01694E-05,-1.81813E-08,Mg2Si, Mg2Si,,37.16172731,3.716172731,Materialsproject,
PSEDOWOLLAST.].,CaSiO3,(L),298.15,3000,-1472584.607,75.9434869,-1582227.083,146.405,0,0,0,0,0,,,,,,,
TEPHROITE,SiMn2O4,(C),298.15,1618,-1655701.228,142.2350642,-1729666.105,159.03766,0.01949278,-3112152,0,0,0,TEPHROITE, SiMn2O4,Tephroit,43.71170871,4.371170871,Webmineral,
RHODONITE,SiMnO3,(C),298.15,1564,-1265102.602,102.4921902,-1320152.409,110.51486,0.01623004,-2576728,0,0,0,RHODONITE, SiMnO3,Rhodonit,34.71342598,3.471342598,Mindat,Data for pure Mn end member
Ca2SiO4_BETA,[BETA],(C),298.15,2403,-2222646.828,127.5944346,-2305247.143,145.86121,0.04074242,-2618558,0,0,0,,,,,,,
Si3Mn5,[],(C),298.15,1573,-242126.3589,238.8564153,-200778.1359,201.311058,0.054148935,-1959736,0,0,0,Si3Mn5, Si3Mn5,,59.55174555,5.955174555,Materialsproject,
SiMn,[],(C),298.15,1548,-67478.52512,46.41919381,-60568.61904,49.309204,0.012774882,-640000,0,0,0,SiMn, SiMn,,13.92078058,1.392078058,Materialsproject,
SiMn3,[],(C),298.15,1348,-94447.56381,103.6271406,-79558.00312,100.856313,0.052065801,-1471580,0,0,0,SiMn3, SiMn3,,27.25018694,2.725018694,Materialsproject,Materialsproject
Si3N4,[],(C),298.15,4000,-691355.5221,66.07435176,-787797.2108,98.877,0.077739,-2419900,0,-2.1211E-05,2.376E-09,Si3N4, Si3N4,,44.76498113,4.476498113,Materialsproject,
SPHENE,CaSiTiO5,(L),298.15,3000,-2460673.84,37.10230116,-2597875.688,279.4244,0,0,0,0,0,,,,,,,
Na4SiO4,[],(C),298.15,1393,-2021869.808,195.7829814,-2106135.46,162.55138,0.07420642,0,0,0,0,Na4SiO4, Na4SiO4,,71.64239755,7.164239755,Materialsproject,
Na2Si2O5,[],(C),298.15,1147,-2364792.854,164.0311785,-2469471.303,185.64154,0.07052538,-4463262,0,0,0,Na2Si2O5, Na2Si2O5,Natrosilit,72.44183674,7.244183674,Webmineral,
Na2SiO3,[],(C),298.15,1361,-1492428.9,113.7888421,-1557243.65,130.25862,0.0401568,-2706400,0,0,0,Na2SiO3, Na2SiO3,,48.05096223,4.805096223,Materialsproject,
