group,abbreviation,symbol,formula,H,H_error,S,V,Cp
high_p_phases,mak,akimotoite,MgSiO3,-1490.85,0.62,59.3,2.635,75.0230547627162
high_p_phases,cstn,CaSi-titanite,CaSi2O5,-2496.17,2.81,99.5,4.818,124.907647057725
high_p_phases,apv,Al-perovskite,AlAlO3,-1646.76,1.12,51.8,2.54,79.4529125898666
high_p_phases,cpv,Ca-perovskite,CaSiO3,-1541.73,1.8,73.5,2.745,86.1378533019464
high_p_phases,fpv,Fe-perovskite,FeSiO3,-1084.64,8.14,91,2.548,77.0148200991726
high_p_phases,mpv,Mg-perovskite,MgSiO3,-1443.02,0.69,62.6,2.445,70.3339890324261
high_p_phases,phA,phaseA,Mg7Si2O8(OH)6,-7132.27,1.9,348,15.442,462.375077952761
high_p_phases,frw,Fe-ringwoodite,Fe2SiO4,-1471.79,0.76,140,4.203,128.964830315159
high_p_phases,mrw,Mg-ringwoodite,Mg2SiO4,-2127.66,0.78,90,3.949,111.602473348563
high_p_phases,fwd,Fe-wadsleyite,Fe2SiO4,-1467.92,0.97,146,4.321,132.036708173761
high_p_phases,mwd,Mg-wadsleyite,Mg2SiO4,-2138.5,0.76,93.9,4.051,115.194222216501
pyroxenes,acm,acmite,NaFeSi2O6,-2583.5,2.43,170.6,6.459,170.022183152086
pyroxenes,caes,Ca-eskola,Ca0.5AlSi2O6,-3002.01,1.74,127,6.05,148.465883100002
pyroxenes,cats,Ca-tschermaks,CaAl2SiO6,-3310.14,0.8,135,6.356,165.781225285807
pyroxenes,cen,enstatite,Mg2Si2O6,-3091.12,0.66,132,6.264,163.389457076392
pyroxenes,hen,clinoenstatite,Mg2Si2O6,-3082.74,0.67,131.7,6.099,164.120696215512
pyroxenes,di,diopside,CaMgSi2O6,-3201.69,0.62,142.9,6.619,166.630614159718
pyroxenes,en,enstatite,Mg2Si2O6,-3090.23,0.66,132.5,6.262,164.120696215512
pyroxenes,fs,ferrosilite,Fe2Si2O6,-2388.72,0.81,189.9,6.592,176.236868113546
